,合约系列,成交量,持仓量,持仓量变化,成交额,行权量,隐含波动率,date
151,ru2001                        ,0,398,0,0.0,0,0.24873,2019-02-28
152,ru1905                        ,7318,19404,890,2686.92,0,0.270965,2019-03-01
153,ru1906                        ,332,2352,-38,120.204,0,0.257242,2019-03-01
154,ru1907                        ,4,330,4,1.072,0,0.257066,2019-03-01
155,ru1908                        ,0,166,0,0.0,0,0.257066,2019-03-01
156,ru1909                        ,210,4862,8,192.266,0,0.252092,2019-03-01
157,ru1910                        ,0,124,0,0.0,0,0.252092,2019-03-01
158,ru1911                        ,0,154,0,0.0,0,0.252092,2019-03-01
159,ru2001                        ,0,398,0,0.0,0,0.252092,2019-03-01
160,ru1905                        ,6718,19308,-96,2682.676,0,0.267165,2019-03-04
161,ru1906                        ,926,2616,264,380.302,0,0.260666,2019-03-04
162,ru1907                        ,0,330,0,0.0,0,0.260666,2019-03-04
163,ru1908                        ,0,166,0,0.0,0,0.242641,2019-03-04
164,ru1909                        ,364,4884,22,276.136,0,0.242641,2019-03-04
165,ru1910                        ,0,124,0,0.0,0,0.242641,2019-03-04
166,ru1911                        ,0,154,0,0.0,0,0.27081,2019-03-04
167,ru2001                        ,8,398,0,8.372,0,0.27081,2019-03-04
168,ru1905                        ,5064,19192,-116,1559.88,2,0.248613,2019-03-05
169,ru1906                        ,568,2554,-62,162.482,0,0.25124,2019-03-05
170,ru1907                        ,10,336,6,5.84,0,0.256132,2019-03-05
171,ru1908                        ,4,164,-2,7.318,0,0.262037,2019-03-05
172,ru1909                        ,530,5098,214,278.216,0,0.259363,2019-03-05
173,ru1910                        ,0,124,0,0.0,0,0.259363,2019-03-05
174,ru1911                        ,26,148,-6,25.308,0,0.241972,2019-03-05
175,ru2001                        ,34,404,6,54.62,0,0.23452,2019-03-05
176,ru1905                        ,3312,19304,112,1098.384,0,0.239883,2019-03-06
177,ru1906                        ,216,2482,-72,76.122,0,0.223194,2019-03-06
178,ru1907                        ,2,338,2,0.316,0,0.234263,2019-03-06
179,ru1908                        ,6,168,4,1.158,0,0.232625,2019-03-06
180,ru1909                        ,316,5178,80,197.81,0,0.245886,2019-03-06
